ISO_A2,University,Count,Country,Region,Population
VE,Universidad MonteÃ¡vila,37,Venezuela,Americas,28421581
VE,Universidad Nacional Abierta,37,Venezuela,Americas,28421581
VE,Universidad Nacional Experimental de Guayana,37,Venezuela,Americas,28421581
VE,Universidad Nacional Experimental de la Fuerza Armada,37,Venezuela,Americas,28421581
VE,"Universidad Nacional Experimental de los Llanos Occidentales ""Ezequiel Zamora""",37,Venezuela,Americas,28421581
VE,Universidad Nacional Experimental del TÃ¡chira,37,Venezuela,Americas,28421581
VE,"Universidad Nacional Experimental ""Francisco de Miranda""",37,Venezuela,Americas,28421581
VE,"Universidad Nacional Experimental PolitÃ©cnica ""Antonio JosÃ© de Sucre""",37,Venezuela,Americas,28421581
VE,"Universidad Nacional Experimental ""Rafael Maria Baralt""",37,Venezuela,Americas,28421581
VE,Universidad Nacional Experimental Romulo Gallegos,37,Venezuela,Americas,28421581
VE,"Universidad Nacional Experimental ""SimÃ³n Rodriguez""",37,Venezuela,Americas,28421581
VE,"Universidad Nacional Experimental Sur del Lago ""JesÃºs Maria Semprum""",37,Venezuela,Americas,28421581
VE,Universidad Nueva Esparta,37,Venezuela,Americas,28421581
VE,Universidad PedagÃ³gica Experimental Libertador,37,Venezuela,Americas,28421581
VE,Universidad Rafael Urdaneta,37,Venezuela,Americas,28421581
VE,Universidad Santa Maria Caracas,37,Venezuela,Americas,28421581
VE,Universidad SimÃ³n Bolivar,37,Venezuela,Americas,28421581
VE,Universidad TecnolÃ³gica del Centro,37,Venezuela,Americas,28421581
VE,Universidad Valle del Momboy,37,Venezuela,Americas,28421581
VE,Universidad Yacambu,37,Venezuela,Americas,28421581
UZ,Ferghana Politechnical Institute,22,Uzbekistan,Asia,33551824
UZ,International Business School Kelajak ILMI,22,Uzbekistan,Asia,33551824
UZ,Kokand State Pedagogical Institute,22,Uzbekistan,Asia,33551824
UZ,"Management Development Institute of Singapore, Tashkent",22,Uzbekistan,Asia,33551824
UZ,National University of Uzbekistan,22,Uzbekistan,Asia,33551824
UZ,Nukus State Teachers Training Institute,22,Uzbekistan,Asia,33551824
UZ,Samarkand State University,22,Uzbekistan,Asia,33551824
UZ,Tashkent Automobile and Roads Institute,22,Uzbekistan,Asia,33551824
UZ,Tashkent Institute of Irrigation and Melioration,22,Uzbekistan,Asia,33551824
UZ,Tashkent Islam University,22,Uzbekistan,Asia,33551824
UZ,Tashkent Medical Academy,22,Uzbekistan,Asia,33551824
UZ,Tashkent Pharmaceutical Institute,22,Uzbekistan,Asia,33551824
UZ,Tashkent School of Finance,22,Uzbekistan,Asia,33551824
UZ,Tashkent State Agrarian University,22,Uzbekistan,Asia,33551824
UZ,Tashkent State Technical University,22,Uzbekistan,Asia,33551824
UZ,Tashkent State University of Economics,22,Uzbekistan,Asia,33551824
UZ,Tashkent State University of Oriental Studies ,22,Uzbekistan,Asia,33551824
UZ,Tashkent University of Information Technologies,22,Uzbekistan,Asia,33551824
UZ,Turin Polytechnic University In Tashkent,22,Uzbekistan,Asia,33551824
UZ,University of World Economy and Diplomacy,22,Uzbekistan,Asia,33551824
UZ,Uzbek State World Languages University,22,Uzbekistan,Asia,33551824
UZ,Westminster International University in Tashkent,22,Uzbekistan,Asia,33551824
UY,Insituto Universitario - Centro Latinoamericano de Economia Humana - IU Claeh,6,Uruguay,Americas,3475842
UY,Universidad CatÃ³lica del Uruguay,6,Uruguay,Americas,3475842
UY,Universidad de la Empresa (UDE),6,Uruguay,Americas,3475842
UY,Universidad de la RepÃºblica,6,Uruguay,Americas,3475842
UY,Universidad de Montevideo,6,Uruguay,Americas,3475842
UY,Universidad ORT Uruguay,6,Uruguay,Americas,3475842
US,Abilene Christian University,2074,United States of America,Americas,#N/A
US,Academy of Art College,2074,United States of America,Americas,#N/A
US,Adams State College,2074,United States of America,Americas,#N/A
US,Adelphi University,2074,United States of America,Americas,#N/A
US,Adler School of Professional Psychology,2074,United States of America,Americas,#N/A
US,Adrian College,2074,United States of America,Americas,#N/A
US,Agnes Scott College,2074,United States of America,Americas,#N/A
US,Air Force Institute of Technology,2074,United States of America,Americas,#N/A
US,Alabama Agricultural and Mechanical University,2074,United States of America,Americas,#N/A
US,Alabama State University,2074,United States of America,Americas,#N/A
US,Alaska Bible College,2074,United States of America,Americas,#N/A
US,Alaska Pacific University,2074,United States of America,Americas,#N/A
US,Albany College of Pharmacy,2074,United States of America,Americas,#N/A
US,Albany Law School,2074,United States of America,Americas,#N/A
US,Albany Medical Center,2074,United States of America,Americas,#N/A
US,Albany State University,2074,United States of America,Americas,#N/A
US,Albertus Magnus College,2074,United States of America,Americas,#N/A
US,Albion College,2074,United States of America,Americas,#N/A
US,Albright College,2074,United States of America,Americas,#N/A
US,Alcorn State University,2074,United States of America,Americas,#N/A
US,Alderson Broaddus College,2074,United States of America,Americas,#N/A
US,Alfred Adler Graduate School,2074,United States of America,Americas,#N/A
