university,country,region,established,numstudents
Max M. Fisher College of Business,United States of America,Americas,1916,5552
School of Oriental and African Studies,United Kingdom of Great Britain and Northern Ireland,Europe,1916,4525
University of Alaska Fairbanks,United States of America,Americas,1917,11034
New Orleans Baptist Theological Seminary,United States of America,Americas,1917,3740
Anderson University (Indiana),United States of America,Americas,1917,2565
Bemidji State University,United States of America,Americas,1919,5365
Western New England University,United States of America,Americas,1919,3657
John Brown University,United States of America,Americas,1919,2073
Indiana Wesleyan University,United States of America,Americas,1920,15872
The College of Saint Rose,United States of America,Americas,1920,4863
University of Colombo,Sri Lanka,Asia,1921,11604
Mendoza College of Business,United States of America,Americas,1921,2263
University of Exeter,United Kingdom of Great Britain and Northern Ireland,Europe,1922,17950
Murray State University,United States of America,Americas,1922,10623
SCU Leavey School of Business,United States of America,Americas,1923,8846
Fontbonne University,United States of America,Americas,1923,3120
University of Milan,Italy,Europe,1924,62801
High Point University,United States of America,Americas,1924,4500
Misericordia University,United States of America,Americas,1924,2355
Memorial University of Newfoundland,Canada,Americas,1925,18572
University of Miami,United States of America,Americas,1925,15657
Salisbury University,United States of America,Americas,1925,8606
Higher education in Newfoundland and Labrador,Canada,Americas,1925,7881
Whitacre College of Engineering,United States of America,Americas,1925,5033
Toho University,Japan,Asia,1925,4533
Gannon University,United States of America,Americas,1925,4238
Mount St. Mary's College,United States of America,Americas,1925,2480
Long Island University,United States of America,Americas,1926,24170
Concordia University Texas,United States of America,Americas,1926,2658
University of Hull,United Kingdom of Great Britain and Northern Ireland,Europe,1927,22275
Regis College,United States of America,Americas,1927,1737
Capitol College,United States of America,Americas,1927,754
Webber International University,United States of America,Americas,1927,616
Valley Forge Military Academy and College,United States of America,Americas,1928,602
Aarhus University,Denmark,Europe,1928,44
Teesside University,United Kingdom of Great Britain and Northern Ireland,Europe,1929,28094
Montana State University %E2%80%93 Northern,United States of America,Americas,1929,1207
Montana State University%E2%80%93Northern,United States of America,Americas,1929,1207
Old Dominion University,United States of America,Americas,1930,24125
Brooklyn College,United States of America,Americas,1930,16822
Indiana Institute of Technology,United States of America,Americas,1930,4384
Kwansei Gakuin University,Japan,Asia,1932,19966
Boise State University,United States of America,Americas,1932,19664
Southern New Hampshire University,United States of America,Americas,1932,8034
Bennington College,United States of America,Americas,1932,811
University of Missouri%E2%80%93Kansas City,United States of America,Americas,1933,15064
Rivier University,United States of America,Americas,1933,2242
University of Tehran,Iran,Asia,1934,39922
Kish International Campus%2C University of Tehran,Iran,Asia,1934,39922
Jacksonville University,United States of America,Americas,1934,3600
Hofstra University,United States of America,Americas,1935,12400
Armstrong Atlantic State University,United States of America,Americas,1935,7538
Corban University,United States of America,Americas,1935,1015
University of Alabama at Birmingham,United States of America,Americas,1936,17999
Cardinal Stritch University,United States of America,Americas,1937,6276
Zakir Hussain College of Engineering and Technology,India,Asia,1938,2000
Barry University,United States of America,Americas,1939,9300
Indiana University Southeast,United States of America,Americas,1941,6840
University of Hawaii at Hilo,United States of America,Americas,1941,3974
Zamorano,Honduras,Americas,1941,900
Carleton University,Canada,Americas,1942,25890
University of Peradeniya,Sri Lanka,Asia,1942,11065
Fairfield University,United States of America,Americas,1942,4991
Faulkner University,United States of America,Americas,1942,3574
Roosevelt University,United States of America,Americas,1945,7306
Indiana University Kokomo,United States of America,Americas,1945,3719
Portland State University,United States of America,Americas,1946,29703
Seoul National University,South Korea,Asia,1946,28018
Binghamton University,United States of America,Americas,1946,14713
Shiraz University,Iran,Asia,1946,13600
Purdue University Calumet,United States of America,Americas,1946,10133
New England College,United States of America,Americas,1946,1460
Orange Coast College,United States of America,Americas,1947,24424
Oregon Institute of Technology,United States of America,Americas,1947,3927
University of St. Thomas (Texas),United States of America,Americas,1947,3246
Bethel College (Indiana),United States of America,Americas,1947,2100
Pensacola State College,United States of America,Americas,1948,36000
Southern Polytechnic State University,United States of America,Americas,1948,5500
Purdue University North Central,United States of America,Americas,1948,4463
Stonehill College,United States of America,Americas,1948,2426
Grace College,United States of America,Americas,1948,1308
University of New South Wales,Australia,Oceania,1949,46302
California State University%2C Long Beach,United States of America,Americas,1949,34870
Keele University,United Kingdom of Great Britain and Northern Ireland,Europe,1949,9840
Marymount University,United States of America,Americas,1950,3633
Bellarmine University,United States of America,Americas,1950,3090
Cape Breton University,Canada,Americas,1951,3168
University of California%2C Riverside,United States of America,Americas,1954,20956
Holy Family University,United States of America,Americas,1954,3345
New York Institute of Technology,United States of America,Americas,1955,14000
Dowling College,United States of America,Americas,1955,5233
Chaminade University of Honolulu,United States of America,Americas,1955,2836
University of South Florida,United States of America,Americas,1956,47122
University of Michigan%E2%80%93Flint,United States of America,Americas,1956,8289
University of Dallas,United States of America,Americas,1956,2725
Assiut University,Egypt,Africa,1957,87274
Autonomous University of Baja California,Mexico,Americas,1957,47878
Oakland University,United States of America,Americas,1957,19379
Southern Illinois University Edwardsville,United States of America,Americas,1957,14235
University of Bradford,United Kingdom of Great Britain and Northern Ireland,Europe,1957,13570
Gulf Coast State College,United States of America,Americas,1957,6058
Missouri Baptist University,United States of America,Americas,1957,4836
Stony Brook University,United States of America,Americas,1957,82
Columbus State University,United States of America,Americas,1958,8298
St. Andrews University (North Carolina),United States of America,Americas,1958,600
University of Michigan%E2%80%93Dearborn,United States of America,Americas,1959,8955
Barstow Community College,United States of America,Americas,1959,5000
Universidade Federal de Santa Maria,Brazil,Americas,1960,26851
Grand Valley State University,United States of America,Americas,1960,24662
University of Missouri%E2%80%93St. Louis,United States of America,Americas,1960,16548
National Institute of Technology%2C Srinagar,India,Asia,1960,1500
Florida Atlantic University,United States of America,Americas,1961,29290
University of North Carolina at Charlotte,United States of America,Americas,1961,25063
University of Sussex,United Kingdom of Great Britain and Northern Ireland,Europe,1961,12445
Portland State University School of Business Administration,United States of America,Americas,1961,3500
California Institute of the Arts,United States of America,Americas,1961,1454
Hokusei Gakuen University,Japan,Asia,1962,4337
Trinity Western University,Canada,Americas,1962,4000
University of Central Florida,United States of America,Americas,1963,58698
Kennesaw State University,United States of America,Americas,1963,23103
University of East Anglia,United Kingdom of Great Britain and Northern Ireland,Europe,1963,17290
University of York,United Kingdom of Great Britain and Northern Ireland,Europe,1963,13490
Indiana University Northwest,United States of America,Americas,1963,5560
University of North Carolina School of the Arts,United States of America,Americas,1963,1144
Macquarie University,Australia,Oceania,1964,35274
La Trobe University,Australia,Oceania,1964,32762
Nova Southeastern University,United States of America,Americas,1964,28457
Brock University,Canada,Americas,1964,17000
John Jay College of Criminal Justice,United States of America,Americas,1964,16000
University of Essex,United Kingdom of Great Britain and Northern Ireland,Europe,1964,14765
Lancaster University,United Kingdom of Great Britain and Northern Ireland,Europe,1964,12125
Florida International University,United States of America,Americas,1965,47966
Simon Fraser University,Canada,Americas,1965,35204
University of California%2C Irvine,United States of America,Americas,1965,27676
"University of California, Irvine",United States of America,Americas,1965,27676
University of Warwick,United Kingdom of Great Britain and Northern Ireland,Europe,1965,18900
University of Southern Indiana,United States of America,Americas,1965,10820
Hawaii Pacific University,United States of America,Americas,1965,9000
Lakehead University,Canada,Americas,1965,7848
DeSales University,United States of America,Americas,1965,2499
Brunel University,United Kingdom of Great Britain and Northern Ireland,Europe,1966,15446
University of Bath,United Kingdom of Great Britain and Northern Ireland,Europe,1966,13959
Sharif University of Technology,Iran,Asia,1966,10502
Bellevue University,United States of America,Americas,1966,8278
Indian Hills Community College,United States of America,Americas,1966,3800
"University of Puerto Rico, Medical Sciences Campus",Puerto Rico,Americas,1966,2766
Confederation College,Canada,Americas,1967,21160
Wright State University,United States of America,Americas,1967,19721
Auburn Montgomery,United States of America,Americas,1967,5079
The Evergreen State College,United States of America,Americas,1967,4800
University of Tennessee system,United States of America,Americas,1968,44595
Northern Kentucky University,United States of America,Americas,1968,15405
Mount Vernon Nazarene University,United States of America,Americas,1968,2609
Indiana University %E2%80%93 Purdue University Indianapolis,United States of America,Americas,1969,30461
University of Texas at Dallas,United States of America,Americas,1969,19728
University of Prince Edward Island,Canada,Americas,1969,4600
University of Rennes 2 %E2%80%93 Upper Brittany,France,Europe,1969,17
Manchester Metropolitan University,United Kingdom of Great Britain and Northern Ireland,Europe,1970,33490
Nottingham Trent University,United Kingdom of Great Britain and Northern Ireland,Europe,1970,24225
National University (California),United States of America,Americas,1971,27195
Indiana University East,United States of America,Americas,1971,2459
Maharishi University of Management,United States of America,Americas,1971,1210
San Diego Community College District,United States of America,Americas,1972,131403
Middlesex University,United Kingdom of Great Britain and Northern Ireland,Europe,1973,23175
Eastern Virginia Medical School,United States of America,Americas,1973,779
Beijing Institute of Petrochemical Technology,China,Asia,1978,8000
Regent University,United States of America,Americas,1978,4494
Universidad Icesi,Colombia,Americas,1979,4854
University of Botswana,Botswana,Africa,1982,15484
University of Bolton,United Kingdom of Great Britain and Northern Ireland,Europe,1982,9251
Korea National University of Education,South Korea,Asia,1984,5756
RVR & JC College of Engineering,India,Asia,1985,4496
Jordan University of Science and Technology,Jordan,Asia,1986,21559
Shawnee State University,United States of America,Americas,1986,4600
University of Balamand,Lebanon,Asia,1988,5097
University of Northern British Columbia,Canada,Americas,1990,4183
Thames Valley University,United Kingdom of Great Britain and Northern Ireland,Europe,1991,47430
University of West London,United Kingdom of Great Britain and Northern Ireland,Europe,1991,47430
Nanyang Technological University,Singapore,Asia,1991,33500
Florida Gulf Coast University,United States of America,Americas,1991,12024
Hamdard University,Pakistan,Asia,1991,5200
American University in Bulgaria,Bulgaria,Europe,1991,1116
Bournemouth University,United Kingdom of Great Britain and Northern Ireland,Europe,1992,17502
Savonia University of Applied Sciences,Finland,Europe,1992,4500
New Economic School,Russia,Europe,1992,339
Hashemite University,Jordan,Asia,1996,17849
Tabarestan Higher Education Institution,Iran,Asia,1998,10502
Netaji Subhash Engineering College,India,Asia,1998,2200
University of the State of Amazonas,Brazil,Americas,2001,2284
Soka University of America,United States of America,Americas,2001,363
University of Ontario Institute of Technology,Canada,Americas,2002,9203
California State University%2C Channel Islands,United States of America,Americas,2002,4179
University of Arkansas Honors College,United States of America,Americas,2002,2200
University of Manchester,United Kingdom of Great Britain and Northern Ireland,Europe,2004,39165
Paris Universitas,France,Europe,2005,70000
University of Northampton,United Kingdom of Great Britain and Northern Ireland,Europe,2005,13925
Epoka University,Albania,Europe,2007,800
