university,country,region,established,numstudents
University of Detroit Mercy,United States of America,Americas,1877,5471
Rhode Island School of Design,United States of America,Americas,1877,2282
Duquesne University,United States of America,Americas,1878,10363
Yamagata University,Japan,Asia,1878,9748
Creighton University,United States of America,Americas,1878,7730
Rocky Mountain College,United States of America,Americas,1878,894
University of Southern California,United States of America,Americas,1880,38010
Southern University,United States of America,Americas,1880,7313
University of Nottingham,United Kingdom of Great Britain and Northern Ireland,Europe,1881,32472
University of Liverpool,United Kingdom of Great Britain and Northern Ireland,Europe,1881,20655
South Dakota State University,United States of America,Americas,1881,12725
Marquette University,United States of America,Americas,1881,12002
New Jersey Institute of Technology,United States of America,Americas,1881,9558
University of California%2C Los Angeles,United States of America,Americas,1882,39271
University of Bedfordshire,United Kingdom of Great Britain and Northern Ireland,Europe,1882,23859
Eastern Washington University,United States of America,Americas,1882,12130
Cardiff University,United Kingdom of Great Britain and Northern Ireland,Europe,1883,30930
Belhaven University,United States of America,Americas,1883,3245
Stetson University,United States of America,Americas,1883,2776
Florida Southern College,United States of America,Americas,1883,2426
Wagner College,United States of America,Americas,1883,2400
Houghton College,United States of America,Americas,1883,1415
