ISO_A2,University,Count,Country
US,Ambassador University,2074,United States of America
US,Amber University,2074,United States of America
US,American Academy of Nutrition,2074,United States of America
US,American Business & Technology University,2074,United States of America
US,American Conservatory of Music,2074,United States of America
US,American Conservatory Theater,2074,United States of America
US,American-European School of Management ,2074,United States of America
US,American Film Institute Center for Advanced Film and Television Studies,2074,United States of America
US,American Indian College,2074,United States of America
US,American InterContinental University - Atlanta,2074,United States of America
US,American InterContinental University - Ft. Lauderdale,2074,United States of America
US,American InterContinental University - Georgia,2074,United States of America
US,American InterContinental University Online,2074,United States of America
US,American International College,2074,United States of America
US,American Jewish University,2074,United States of America
US,American Military University,2074,United States of America
US,American Public University,2074,United States of America
US,American University,2074,United States of America
US,American World University,2074,United States of America
US,Amherst College,2074,United States of America
US,Anderson College,2074,United States of America
US,Anderson University,2074,United States of America
